Comportamento,Categoria,Tipo,Critério-B,Pergunta,Resposta,Sem Barreiras,Com Barreiras Impeditivas
buscar o site gov.br,Busca e Acesso,Procurar site ou aplicativo,Acessibilidade das informações,É fácil encontrar o link para o processo ou serviço?,2,O link é extremamente fácil de encontrar.,"O link é extremamente difícil de encontrar, mesmo com uma busca exaustiva."
buscar o site gov.br,Busca e Acesso,Procurar site ou aplicativo,Autonomia,A pessoa usuária consegue acessar o serviço de maneira independente?,3,"A pessoa usuária consegue localizar o serviço de forma totalmente independente, sem qualquer dificuldade","A pessoa usuária não consegue localizar o serviço de forma alguma, necessitando de ajuda do suporte do serviço ou de terceiros."
buscar site f5,Interação,Interagir sincronamente,Conteúdo,As informações são fornecidas de forma clara?,4,"As informações são transmitidas de maneira clara e direta, focando nos pontos essenciais.","A pessoa usuária não recebe nenhuma informação, ou as informações são confusas e ambíguas."
buscar site f5,Interação,Interagir sincronamente,Checagem,A compreensão da pessoa usuária sobre as informações recebidas é verificada?,2,"A pessoa usuária é perguntada sobre o entendimento do conteúdo e tem muitas oportunidades de tirar dúvidas. Para verificar o entendimento e demonstrar escuta ativa, a equipe do serviço repete e reformula claramente os principais pontos.","A pessoa usuária não tem oportunidades de esclarecer o entendimento. A equipe do serviço não dedica tempo para verificar o seu entendimento e a interrompe, em vez de ouvi-la ativamente."
buscar site f5,Interação,Interagir sincronamente,Eficiência,A pessoa usuária consegue localizar e acessar o suporte em tempo real rapidamente?,4,Os canais de suporte são muito fáceis de localizar e acessar para todas as pessoas usuárias.,Os canais de suporte são muito difíceis de localizar e acessar.
buscar site f5,Interação,Interagir sincronamente,Eficiência,A pessoa usuária precisa fornecer as mesmas informações mais de uma vez?,3,A pessoa usuária não precisa fornecer as mesmas informações mais de uma vez.,A pessoa usuária precisa fornecer as mesmas informações mais de uma vez.
buscar site f5,Interação,Interagir sincronamente,Empatia,"As respostas desfavoráveis são comunicadas de forma clara, transparente e empática?",1,As respostas desfavoráveis (ex. rejeições) são explicadas claramente com transparência e empatia.,A resposta é pouco clara e entregue sem explicação nem empatia.
buscar site f5,Interação,Interagir sincronamente,Compatibilidade,Os canais para acessar o suporte síncrono são os mais adequados para atender as necessidades da pessoa usuária?,1,"A pessoa usuária pode escolher um canal preferido para o contato com o suporte e o passo-a-passo é muito claramente e consistentemente explicado. Quando apropriado, a equipe do serviço conecta os usuários com algum tipo de suporte adequado para seu bem-estar.","A pessoa usuária só pode usar um canal padrão para o contato com o suporte (ex. por telefone), sem outras opções para sua escolha. A equipe do serviço não conecta a pessoa usuária com algum tipo de suporte mais adequado para seu bem-estar."
buscar site f5,Interação,Interagir sincronamente,Avaliação,"A pessoa usuária pode avaliar o suporte para tirar dúvidas, enviar sugestões ou reclamações?",1,A pessoa usuária é sempre incentivada a avaliar o suporte.,A pessoa usuária nunca é incentivada a avaliar o suporte.
buscar site f5,Interação,Interagir sincronamente,Flexibilidade,O suporte síncrono é personalizado para pessoa usuária?,1,A equipe do serviço sempre usa as informações de que dispõe sobre a pessoa usuária para personalizar a interação.,A equipe do serviço não usa as informações de que dispõe sobre a pessoa usuária para personalizar a interação.
buscar site f5,Interação,Interagir sincronamente,Consistência,Procedimentos padronizados são usados para atendimento da pessoa usuária?,1,Procedimentos-padrão estão claramente definidos e são integrados à prática diária de toda a equipe do serviço. A equipe tem um processo sistemático para atualizar regularmente uma base de conhecimento compartilhada (ex. notas sobre problemas comuns e como resolvê-los).,"Não há procedimentos-padrão em vigor. Não há processo em vigor para a equipe atualizar a sua própria base de conhecimento pessoal, nem uma base de conhecimento compartilhada (ex. notas sobre problemas comuns e como resolvê-los)."
buscar site f5,Interação,Interagir sincronamente,Confiança,Os próximos passos estão claros?,1,A pessoa usuária recebe informações que explicam claramente os próximos passos no processo e o que pode ser feito.,Nenhuma informação é fornecida sobre os próximos passos no processo.
buscar site f5,Interação,Interagir sincronamente,Confiança,A pessoa usuária recebe uma estimativa clara de quanto tempo pode ter que esperar?,1,"O tempo de espera é comunicado de forma específica (ex. ""Você receberá uma resposta dentro de X horas""), e a expectativa é atendida quase sempre.",O tempo de espera não é comunicado.
buscar site f5,Interação,Interagir sincronamente,Confiança,"A pessoa usuária se sente confortável ao enviar uma dúvida, sugestão ou fazer uma reclamação?",1,"Há estratégias para ajudar a pessoa usuária a se sentir muito confortável ao acessar o serviço (ex. ela é tratada com empatia e respeito, fornecendo privacidade), em situações em que possa se sentir envergonhada.","A pessoa usuária frequentemente se sente desconfortável ao acessar o serviço (ex. porque a situação é associada a estigmas), e não há estratégias para ajudá-la a se sentir mais à vontade."
